,Medicine Name,Use,Side Effects,Dosage
98,Actonel with Calcium,"Actonel with Calcium (risedronate sodium with calcium carbonate) is a combination of a bisphosphonate with the mineral calcium used to treat or prevent postmenopausal and steroid-induced osteoporosis. Risedronate is also used to treat Paget's disease of bone. Calcium carbonate is used to prevent and to treat calcium deficiencies. The brand name Actonel with Calcium is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'sore throat,', 'burning in your eyes,']","The dose of Actonel is one 35 mg Actonel tablet orally, taken once-a-week (Day 1 of the 7-day treatment cycle), and one 1250 mg calcium carbonate tablet (500 mg elemental calcium) orally, taken with food daily on each of the remaining six days (Days 2 through 7 of the 7-day treatment cycle)."
99,Actoplus MET,Actoplus MET (pioglitazone hydrochloride and metformin hydrochloride) is a combination of 2 oral diabetes medicines for people with type 2 diabetes who do not use daily insulin injections. Actoplus MET is not for treating type 1 diabetes. Actoplus MET is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'unusual muscle pain,', 'feeling cold,', 'dizziness,']",The dose of Actoplus MET is individualized on the basis of effectiveness and tolerability. The maximum recommended daily dose is pioglitazone 45 mg/metformin 2550 mg.
100,Actos,"Actos (pioglitazone hydrochloride) is a thiazolidinedione and increases the body's sensitivity to insulin. Actos is used for type 2 diabetes, not type 1 diabetes or diabetic ketoacidosis. Generic Actos is not available in the U.S., but is available in other countries as pioglitazone.","['shortness of breath (especially when laying down),', 'unusual tiredness,', 'swelling,', 'rapid weight gain,', 'pink or red urine,', 'painful or difficult urination,']","Actos is available as tablets in strengths of 15, 30 or 45 mg. Dose is dependent on patient response and the prescribing doctor's clinical judgment; glucose tests may help determine doses."
101,Acular,"Acular (ketorolac tromethamine) Ophthalmic Solution is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve eye itching caused by seasonal allergies. Acular is also used to reduce swelling, pain, and burning or stinging after cataract surgery or corneal refractive surgery. Acular is available in generic form.","['temporary stinging, ', 'burning, or ', 'itching of the eyes for 1-2 minutes when applied. ', 'eye redness, ', 'swollen or puffy eyelids, and ', 'headache. ']","The recommended dose of Acular ophthalmic solution is one drop (0.25 mg) four times a day for relief of ocular itching due to seasonal allergic conjunctivitis. For the treatment of postoperative inflammation in cataract surgery patients, one drop should be applied to the affected eye(s) four times daily beginning 24 hours after surgery and continued for 2 weeks postoperatively."
102,Acular LS,"Acular LS (ketorolac tromethamine ophthalmic solution) is a nonsteroidal anti-inflammatory drug (NSAID) used to relieve eye itching caused by seasonal allergies. Acular LS is also used to reduce swelling, pain, and burning or stinging after cataract surgery or corneal refractive surgery. Acular LS is available in generic form.","['temporary stinging or burning of the eyes for 1-2 minutes when applied,', 'eye itching', ' eye redness,', 'swollen or puffy eyelids, and', 'headache', 'Serious eye symptoms such as sudden vision loss, blurred vision, tunnel vision, eye pain or swelling, or seeing halos around lights;']",The recommended dose of Acular LS ophthalmic solution is one drop four times a day in the operated eye as needed for pain and burning/stinging for up to 4 days following corneal refractive surgery.
103,Acuvail,"Acuvail (ketorolac tromethamine) Ophthalmic Solution is a nonsteroidal anti-inflammatory drug (NSAID) used to treat pain inflammation after cataract surgery or corneal refractive surgery, and also to relieve eye itching caused by seasonal allergies.","['mild burning,', 'stinging, or', 'itching of your eyes; swollen or puffy eyelids, or', 'headache']","The dose of Acuvail is to apply one drop to the affected eye twice daily beginning 1 day prior to cataract surgery, continued on the day of surgery, and through the first 2 weeks of the postoperative period."
104,ACUVUE Theravision with Ketotifen,"Acuvue Theravision with Ketotifen (etafilcon A drug-eluting contact lens with ketotifen) is a daily wear, daily disposable etafilcon A drug-eluting contact lens packaged with an H1 histamine receptor antagonist, indicated for the prevention ocular itch due to allergic conjunctivitis and correction of refractive ametropia (myopia and hyperopia) in aphakic and/or phakic patients who do not have red eye(s), are suitable for contact lens wear and do not have more than 1 D of astigmatism.","['eye irritation,', 'eye pain, and', 'instillation site pain']",Insert one lens per eye per day. Discard lens after a single day's use.
105,Zovirax,Zovirax (acyclovir) is a synthetic nucleoside analogue that interferes with the replication of herpes viruses used to treat ,"['shingles, ', 'chickenpox, ', 'and genital herpes.', 'nausea, ', 'vomiting, ', 'diarrhea, ']","Zovirax tablets are available in 200, 400 and 800 mg strengths and as a liquid suspension with 200 mg strength per 5 ml. Usual doses are 800 mg every 4 hours, 5 times a day for 10 days for shingles; doses for genital herpes infection are the same interval but start with 200 mg. Doses for chickenpox is the same as shingles except it goes for only 5 days for adults;  for children ages 2 and up are weight based (20 mg per Kg) up to 40 Kg, 5 times a day for 5 days. Over 40 Kg, the person gets the adult dose for 5 days."
106,Zovirax Suspension,"Zovirax (acyclovir suspension) is a nucleoside analogue used to treat herpes zoster (shingles), to treat initial episodes and manage recurrent episodes of genital herpes, and to treat chickenpox (varicella).","['nausea,', 'vomiting,', 'diarrhea,', 'headache, and', 'feeing unwell (malaise)', 'probenecid']","The dose of Zovirax to treat acute herpes zoster is 800 mg every 4 hours orally, 5 times daily for 7 to 10 days. The dose of Zovirax to treat initial genital herpes is 200 mg every 4 hours, 5 times daily for 10 days. The dose of Zovirax used for chronic suppressive therapy for recurrent genital herpes is 400 mg 2 times daily for up to 12 months, followed by re-evaluation. The dose of Zovirax to treat chickenpox in children (2 years of age and older) is 20 mg/kg per dose orally 4 times daily (80 mg/kg/day) for 5 days. Children over 40 kg should receive the adult dose for chickenpox. The dose of Zovirax to treat chickenpox adults and children over 40 kg is 800 mg 4 times daily for 5 days."
107,Xerese,Xerese (acyclovir and hydrocortisone) Cream 5%/1% for Topical Use is a combination antiviral medication and anti-inflammatory corticosteroid used to treat recurrent herpes labialis (cold sores) to reduce the likelihood of ulcerative cold sores and to shorten the lesion healing time.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat, and', 'burning, stinging, or irritation of treated skin', 'drying or flaking of the skin,', 'burning or tingling following application,']",Topically apply Xerese 5 times per day for 5 days. Apply a dose sufficient to cover the affected area.
108,Sitavig,Sitavig (acyclovir) is an antiviral medication prescribed to treat recurrent cold sores.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'easy bruising or bleeding,', 'purple or red pinpoint spots under your skin,', 'changes in behavior,']",Sitavig is available as one 50 mg buccal tablet that is applied to the upper gum region inside the mouth.
109,Zovirax Cream,"Zovirax (acyclovir) Cream, 5% is a herpes simplex virus (HSV) nucleoside analogue DNA polymerase inhibitor used to treat recurrent herpes labialis (cold sores) in immunocompetent adults and adolescents 12 years of age and older.","['application site reactions such as dry lips, ', 'skin sloughing, ', 'skin dryness, ', 'cracked lips, ', 'burning skin, ', 'itching, ']","Zovirax Cream should be applied five times per day for four days. Therapy should be initiated as early as possible following the onset of signs or symptoms of herpes labialis i.e., during the prodrome or when lesions appear."
110,Zovirax Injection,Zovirax (acyclovir sodium) for Injection is an antiviral that is used for treating infections caused by the herpes virus.,[],Zovirax is given as an IV injection as directed by your doctor. It is usually given for at least once every 8 hours for 5 to 10 days.
111,B12,"B12 [vitamin b12 (liver-stomach concentrate with intrinsic factor)] is an anti-anemia preparation used to treat anemias that respond to oral hematinics, including pernicious anemia and other megaloblastic anemia and also iron-deficiency anemia. B12 is available in generic form.","['diarrhea', 'constipation', 'skin rash suggesting\n\tallergy']",The dose of B12 is one capsule twice a day.
112,BabyBIG,BabyBIG [botulism immune globulin intravenous (human) (BIG-IV)] is an immune globulin intravenous (human) indicated for treatment of infant botulism caused by toxin types A or B in patients below one year of age.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'tenderness, redness, warmth, cold feeling, or blue/purple appearance in the arms or legs,', 'fussiness,', 'blue lips,']",The recommended dose of BabyBIG is 1.0 mL/kg (50 mg/kg) given as a single intravenous infusion.
113,Baciguent,Baciguent (bacitracin ointment) is an antibiotic used for the treatment of superficial ocular (eye) infections involving the conjunctiva and/or cornea caused by bacitracin susceptible organisms.,"['hives,', 'difficulty breathing, and', 'swelling of your face, lips, tongue, or throat', 'Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;', 'Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']",The usual dose of Baciguent ointment is application directly into the conjunctival sac 1 to 3 times daily. In blepharitis all scales and crusts should be carefully removed and the ointment then spread uniformly over the lid margins. Patients should be instructed to take appropriate measures to avoid gross contamination of the ointment when applying the ointment directly to the infected eye.
114,BACiiM,BACiiM (bacitracin injection) is an antibiotic used to treat infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. The use of BACiiM is limited to neonates/infants with pneumonia or empyema caused by susceptible strains of staphylococci when less toxic antibiotics would not be effective. BACiiM is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'diarrhea that is watery or bloody,', 'urinating more than usual,', 'frequent urination,']","The dose of BACiiM for infants under 2500 grams is 900 units/kg/24 hours in 2 or 3 divided doses. The dose of BACiiM for infants over 2,500 grams is 1,000 units/kg/24 hours, in 2 or 3 divided doses."
115,Tice,"Tice BCG Live is an attenuated, live culture preparation of the Bacillus of Calmette and Guerin (BCG) strain of Mycobacterium bovis bacteria used to treat bladder cancer that is localized (has not spread to other parts of the body). Tice BCG vaccine may be available in generic form.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'chills,', 'aches,']",The dose for the intravesical treatment of carcinoma in situ and for the prophylaxis of recurrent papillary tumors consists of one vial of Tice BCG suspended in 50 ml preservative-free saline.
116,Bacitracin,Bacitracin for Injection is an antibiotic used intramuscularly (IM) for the treatment of infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. Bacitracin for injection is available in generic form.,"['nausea, ', 'vomiting, ', 'injection site reactions (pain, burning, or swelling), ', 'skin rashes, and ', 'possible kidney problems. ', 'urinating more than usual or more often, ']","The infant dose of Bacitracin for injection for infants under 2500 grams is 900 units/kg/24 hours in 2 or 3 divided doses. For infants over 2500 grams, the dose is 1,000 units/kg/24 hours, in 2 or 3 divided doses. In older children and adults, the dose will be determined by a physician."
117,Baciguent,Baciguent (bacitracin ointment) is an antibiotic used for the treatment of superficial ocular (eye) infections involving the conjunctiva and/or cornea caused by bacitracin susceptible organisms.,"['hives,', 'difficulty breathing, and', 'swelling of your face, lips, tongue, or throat', 'Serious eye symptoms such as sudden vision loss, blurred vision,tunnel vision,eye painor swelling, or seeing halos around lights;', 'Serious heart symptoms such as fast, irregular, or pounding heartbeats; fluttering in your chest; shortness of breath; and sudden dizziness, lightheadedness, or passing out;', 'Severe headache,confusion, slurred speech, arm or leg weakness, trouble walking, loss of coordination, feeling unsteady, very stiff muscles, high fever, profuse sweating, or tremors.']",The usual dose of Baciguent ointment is application directly into the conjunctival sac 1 to 3 times daily. In blepharitis all scales and crusts should be carefully removed and the ointment then spread uniformly over the lid margins. Patients should be instructed to take appropriate measures to avoid gross contamination of the ointment when applying the ointment directly to the infected eye.
118,BACiiM,BACiiM (bacitracin injection) is an antibiotic used to treat infants with pneumonia and empyema caused by staphylococci shown to be susceptible to the drug. The use of BACiiM is limited to neonates/infants with pneumonia or empyema caused by susceptible strains of staphylococci when less toxic antibiotics would not be effective. BACiiM is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'diarrhea that is watery or bloody,', 'urinating more than usual,', 'frequent urination,']","The dose of BACiiM for infants under 2500 grams is 900 units/kg/24 hours in 2 or 3 divided doses. The dose of BACiiM for infants over 2,500 grams is 1,000 units/kg/24 hours, in 2 or 3 divided doses."
119,Kemstro,"Kemstro (baclofen orally disintegrating tablets) is a muscle relaxant and antispastic used to alleviate signs and symptoms of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. The brand name Kemstro is discontinued, but generic versions may be available.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe drowsiness,', 'weak or shallow breathing,', 'confusion,']",Start therapy with Kemstro at a low dosage and increase gradually until optimum effect is achieved (usually between 40-80 mg daily).
120,Baclofen,"Baclofen is a muscle relaxant and antispastic used for treating spasm of skeletal muscles, muscle clonus, rigidity, and pain caused by multiple sclerosis. Baclofen is also injected into the spinal cord to treat severe spasticity, spinal cord injuries, and other spinal cord diseases. Baclofen is available in generic form.","['mood changes,', 'confusion,', 'depression, and', 'hallucinations', 'drowsiness,', 'weakness,']",The recommended oral dose of baclofen is 15-80 mg daily. 
121,Lioresal Intrathecal,Lioresal-Intrathecal (baclofen) Injection is a muscle relaxant and antispastic used to treat stiff or rigid muscles (spasticity). Lioresal-Intrathecal is available in generic form.,"['sleepiness, ', 'drowsiness, ', 'dizziness, ', 'lightheadedness, ', 'nausea, ', 'vomiting, ']","What Drugs, Substances, or Supplements Interact with Lioresal Intrathecal?"
122,Gablofen,"Gablofen (baclofen) is a skeletal muscle relaxant used to treat severe spasticity, a very intense tightness of muscles that may cause pain and uncontrollable spasms of the arms, legs, hands, and feet. Gablofen is also used to manage severe spasticity of cerebral or spinal origin in adult and pediatric patients age 4 years and older.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'mental or mood changes,', 'confusion,', 'depression,']","Gablofen is administered by the intrathecal route, meaning it is administered via spinal catheter or lumbar puncture."
123,Baclofen Injection,"Baclofen Injection (Intrathecal) is a muscle relaxant and antispastic indicated for use in the management of severe spasticity. Patients should first respond to a screening dose of intrathecal baclofen prior to consideration for long term infusion via an implantable pump. For spasticity of spinal cord origin, chronic infusion of baclofen injection (intrathecal) via an implantable pump should be reserved for patients unresponsive to oral baclofen therapy, or those who experience intolerable CNS side effects at effective doses. Patients with spasticity due to traumatic brain injury should wait at least one year after the injury before consideration of long term intrathecal baclofen therapy. Baclofen injection (intrathecal) is intended for use by the intrathecal route in single bolus test doses (via spinal catheter or lumbar puncture) and, for chronic use, only in implantable pumps approved by the FDA specifically for the administration of baclofen injection (intrathecal) into the intrathecal space. Baclofen injection is available in generic form.","['low muscle tone', 'drowsiness', 'dizziness', 'numbness or tingling sensation', 'nausea', 'vomiting']","The screening trial employs baclofen injection (intrathecal) at a concentration of 50 mcg/mL. For adults with spasticity of spinal cord origin: After the first 24 hours, for adults, the daily dosage should be increased slowly by 10 to 30% increments and only once every 24 hours, until the desired clinical effect is achieved. For adults with spasticity of cerebral origin: After the first 24 hours, the daily dose should be increased slowly by 5 to 15% only once every 24 hours, until the desired clinical effect is achieved."
124,Lyvispah,"Lyvispah (baclofen) is a gamma-aminobutyric acid (GABA-ergic) agonist indicated for the treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Lyvispah may also be of some value in patient with spinal cord injuries and other spinal cord diseases. ","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'increased muscle stiffness,\xa0', 'itching,\xa0', 'numbness and tingling in your hands and feet,']","Lyvispah should be initiated with a low dosage, preferably in divided doses, administered orally. Increase gradually based on clinical response and tolerability. The maximum dosage of Lyvispah is 80 mg daily (20 mg four times a day)."
125,Ozobax,"Ozobax (baclofen) is a gamma-aminobutyric acid (GABA-ergic) agonist indicated for the treatment of spasticity resulting from multiple sclerosis, particularly for the relief of flexor spasms and concomitant pain, clonus, and muscular rigidity. Ozobax may also be of some value in patients with spinal cord injuries and other spinal cord diseases.","['drowsiness,', 'dizziness,', 'weakness,', 'nausea,', 'confusion,', 'low blood pressure (hypotension),']","Initiate Ozobax with a low dosage, preferably in divided doses, administered orally. Increase gradually based on clinical response and tolerability. The maximum dose of Ozobax is 80 mg daily (20 mg four times a day)."
126,Cinryze,Cinryze (c1 esterase inhibitor [human]) Freeze Dried Powder is a man-made form of a protein that occurs naturally in the bloodstream and helps control inflammation in the body and is used in people with hereditary angioedema. The Berinert brand of this medication is used to treat attacks of angioedema. The Cinryze brand is used to prevent attacks of angioedema.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest tightness,', 'fast heartbeats,', 'lightheadedness,']","A dose of 1,000 Units Cinryze can be administered every 3 or 4 days for routine prophylaxis against angioedema attacks in HAE patients."
127,Ruconest,Ruconest (C1 esterase inhibitor [recombinant]) Intravenous Injection is a C1 esterase inhibitor [recombinant] indicated for the treatment of acute attacks in adult and adolescent patients with hereditary angioedema (HAE).,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest tightness,', 'fast heartbeats,', 'lightheadedness,']",The recommended dose of Ruconest is 50 IU per kg with a maximum of 4200 IU to be administered as a slow intravenous injection over approximately 5 minutes.
128,Haegarda,Haegarda (C1 Esterase Inhibitor Subcutaneous [Human]) is a plasma-derived concentrate of C1 Esterase Inhibitor (Human) (C1-INH) indicated for routine prophylaxis to prevent Hereditary Angioedema (HAE) attacks in adolescent and adult patients.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'chest tightness,', 'fast heartbeats,', 'lightheadedness,']",Administer a dose of 60 International Units per kg body weight of Haegarda twice weekly (every 3 or 4 days).
129,Ca-DTPA,"Ca-DTPA (pentetate calcium trisodium) is a chelating agent used to treat patients with known or suspected internal contamination with plutonium, americium, or curium to increase the rates of elimination.","['headache', 'lightheadedness', 'chest pain', 'allergic reaction', 'skin inflammation', 'metallic taste']",The initial dose of Ca-DTPA for adults and adolescents is a single 1.0 gram initial dose of Ca-DTPA administered intravenously. The pediatric dose (less than 12 years of age) is a single initial dose of 14 mg/kg administered intravenously not exceed 1.0 gram.
130,Jevtana,Jevtana (cabazitaxel) is a cancer (antineoplastic) medication used together with prednisone to treat prostate cancer that has spread to other parts of the body (metastatic). Jevtana is usually given after other cancer medicines have been tried without success.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'rash,', 'skin redness,', 'chest tightness,']",The individual dosage of Jevtana is based on calculation of the Body Surface Area (BSA) and is 25 mg/m2 administered as a one-hour intravenous infusion every three weeks in combination with oral prednisone 10 mg administered daily throughout treatment.
131,Cabenuva,"Cabenuva (cabotegravir extended-release injectable suspension; rilpivirine extended-release injectable suspension) is a 2-drug co-packaged product of a human immunodeficiency virus type-1 (HIV-1) integrase strand transfer inhibitor (INSTI) and an HIV-1 non-nucleoside reverse transcriptase inhibitor (NNRTI), indicated as a complete regimen for the treatment of HIV-1 infection in adults to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine. ","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'tiredness,', 'body aches,']",The recommended dosing schedule: Initiate injections of Cabenuva (600 mg of cabotegravir and 900 mg of rilpivirine) on the last day of oral lead-in and continue with injections of Cabenuva (400 mg of cabotegravir and 600 mg of rilpivirine) every month thereafter.
132,Dostinex,Dostinex (cabergoline) is a dopamine receptor antagonist used to treat a hormone imbalance in which there is too much prolactin in the blood (also called hyperprolactinemia).,"['nausea, ', 'vomiting, ', 'stomach upset or pain, ', 'indigestion, ', 'constipation, ', 'gas, ']",
133,Cablivi,"Cablivi (caplacizumab-yhdp) is a von Willebrand factor (vWF)-directed antibody fragment indicated for the treatment of adult patients with acquired thrombotic thrombocytopenic purpura (aTTP), in combination with plasma exchange and immunosuppressive therapy.","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'easy bruising,', 'unusual bleeding (nosebleeds, bleeding gums),', 'unusual vaginal bleeding,']",The recommended dose of Cablivi is as follows: First day of treatment: 11 mg bolus intravenous injection at least 15 minutes prior to plasma exchange followed by an 11 mg subcutaneous injection after completion of plasma exchange on day 1. Subsequent treatment during daily plasma exchange: 11 mg subcutaneous injection once daily following plasma exchange. Treatment after the plasma exchange period: 11 mg subcutaneous injection once daily for 30 days beyond the last plasma exchange.
134,Cabometyx,Cabometyx (cabozantinib) Tablets is a kinase inhibitor indicated for the treatment of patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'choking or gagging feeling when you eat or drink,', 'vomiting,']","The recommended daily dose of Cabometyx is 60 mg. Do not take Cabometyx with food. 

"
135,Apretude,Apretude (cabotegravir extended-release injectable suspension) is an HIV-1 integrase strand transfer inhibitor (INSTI) indicated in at-risk adults and adolescents weighing at least 35 kg for PrEP to reduce the risk of sexually acquired HIV-1 infection. Individuals must have a negative HIV-1 test prior to initiating APRETUDE (with or without an oral lead-in with oral cabotegravir) for HIV-1 PrEP.,"['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'extreme tiredness,\xa0', 'fever,\xa0', 'feeling unwell,\xa0']","All individuals should be screened for HIV-1 infection immediately prior to initiating Apretude for HIV-1 PrEP and prior to each injection while taking Apretude. Prior to initiating Apretude, an oral lead-in dosing may be used for approximately 1 month with the recommended dosage to assess the tolerability of Apretude. The recommended dosing schedule of Apretude is initiated with a single 600-mg (3-mL) injection given 1 month apart for 2 consecutive months on the last day of an oral lead-in if used or within 3 days and continue with the injections every 2 months thereafter."
136,Vocabria,"Vocabria (cabotegravir) is a human immunodeficiency virus type-1 (HIV-1) integrase strand transfer inhibitor (INSTI) indicated in combination with Edurant (rilpivirine) for short-term treatment of HIV-1 infection in adults who are virologically suppressed (HIV-1 RNA less than 50 copies/mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine, for use as oral lead-in to assess the tolerability of cabotegravir prior to administration of Cabenuva (cabotegravir; rilpivirine) extended-release injectable suspensions and for use as oral therapy for patients who will miss planned injection dosing with Cabenuva. ","['hives,\xa0', 'difficulty breathing,\xa0', 'swelling of your face, lips, tongue, or throat,\xa0', 'severe dizziness,', 'extreme tiredness,\xa0', 'fever,\xa0']",The dose of Vocabria is one 30 mg tablet taken orally once daily for approximately 1 month in combination with one tablet of Edurant (rilpivirine) 25 mg taken orally once daily with a meal.
137,Cabenuva,"Cabenuva (cabotegravir extended-release injectable suspension; rilpivirine extended-release injectable suspension) is a 2-drug co-packaged product of a human immunodeficiency virus type-1 (HIV-1) integrase strand transfer inhibitor (INSTI) and an HIV-1 non-nucleoside reverse transcriptase inhibitor (NNRTI), indicated as a complete regimen for the treatment of HIV-1 infection in adults to replace the current antiretroviral regimen in those who are virologically suppressed (HIV-1 RNA less than 50 copies per mL) on a stable antiretroviral regimen with no history of treatment failure and with no known or suspected resistance to either cabotegravir or rilpivirine. ","['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'fever,', 'tiredness,', 'body aches,']",The recommended dosing schedule: Initiate injections of Cabenuva (600 mg of cabotegravir and 900 mg of rilpivirine) on the last day of oral lead-in and continue with injections of Cabenuva (400 mg of cabotegravir and 600 mg of rilpivirine) every month thereafter.
138,Cometriq,Cometriq (cabozantinib) capsules are kinase inhibitors used to treat people with medullary thyroid cancer (MTC) that has spread to other parts of the body.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'choking or gagging when you eat or drink,', 'severe headache,']","The recommended dose of Cometriq is 140 mg taken orally, once daily. Cometriq should not be taken with food, and patients should not eat for at least two hours before or one hour after taking Cometriq."
139,Cabometyx,Cabometyx (cabozantinib) Tablets is a kinase inhibitor indicated for the treatment of patients with advanced renal cell carcinoma (RCC) who have received prior anti-angiogenic therapy.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe stomach pain,', 'choking or gagging feeling when you eat or drink,', 'vomiting,']","The recommended daily dose of Cabometyx is 60 mg. Do not take Cabometyx with food. 

"
140,Caduet,Caduet (amlodipine besylate and atorvastatin calcium) is a combination of a calcium channel blocker and a statin drug used to treat high blood pressure (hypertension) or chest pain (angina) that occurs with high cholesterol or triglyceride levels. Common side effects of Caduet include dizziness or lightheadedness as your body adjusts to the medication.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'severe dizziness,', 'muscle pain,', 'tenderness,']","Dosage of Caduet is individualized on the basis of both effectiveness and 
tolerance for each individual component in the treatment of hypertension/angina 
and
hyperlipidemia."
141,Caelyx,"Caelyx (pegylated liposomal doxorubicin hydrochloride for injection) is an anthracycline topoisomerase II inhibitor indicated for monotherapy for patients with metastatic breast cancer, where there is an increased cardiac risk associated with conventional doxorubicin; advanced ovarian carcinoma in women who have failed standard first-line therapy; AIDS-related Kaposi's sarcoma (KS) in patients with low CD4 counts (less than 200 CD4 lymphocytes/mm3) and extensive mucocutaneous or visceral disease whose disease has progressed despite therapy or who are intolerant to prior systemic combination chemotherapy comprising of at least two of the following agents: a vinca alkaloid, bleomycin and doxorubicin (or another anthracycline). Caelyx is a Canadian brand name for liposomal doxorubicin hydrochloride. A brand name for liposomal doxorubicin hydrochloride in the U.S. is Doxil.","['redness,', 'swelling,', 'numbness, and', 'skin peeling on palms of the hands and soles of the feet (palmar-plantar erythrodysesthesia, or PPE);', 'nausea, ', 'inflammation of the mucus membranes of the nose, ']","The dose of Caelyx for breast or ovarian cancer is 50 mg/m2 body surface administered intravenously, once every 4 weeks for as long as the disease does not progress, and the patient shows no evidence of clinical cardiotoxicity and continues to tolerate treatment."
142,Cafcit,Cafcit (caffeine citrate) is a central nervous system stimulant used to treat breathing problems in premature infants. Cafcit is available in generic form.,"['hives,', 'difficulty breathing,', 'swelling of your face, lips, tongue, or throat,', 'feeding problems,', 'loss of appetite,', 'vomiting,']",Cafcit may cause serious side effects including:
143,Cafergot,Cafergot (ergotamine tartrate and caffeine) is a combination of an ergot alkaloid and a stimulant used to treat a migraine type headache. Cafergot will only treat a headache that has already begun. Cafergot will not prevent migraine headaches or reduce the number of attacks. Cafergot should not be used to treat common tension headaches or any headache that seems to be different from your usual migraine headaches. Cafergot may be available in generic form.,"['nausea,', 'vomiting,', 'upset stomach,', 'restlessness, ', 'trouble sleeping, ', 'dizziness, ']","Dosage of Cafergot should start at the first sign of an attack. Adult dose is 2 tablets at the start of an attack; 1 additional tablet every 1/2 hour, if needed for full relief (maximum 6 tablets per attack, 10 per week)."
144,Caffeine and Sodium Benzoate," Caffeine and Sodium Benzoate Injection (caffeine alkaloid) is used along with supportive measure to treat respiratory depression associated with over dosage with CNS depressant drugs, such as narcotics. However, because of questionable benefit and transient action, most authorities believe caffeine and other analeptics should not be used in these conditions and recommend other supportive therapy. Caffeine and Sodium Benzoate Injection is available in generic form.","['headache', 'excitement', 'agitation', 'restlessness', 'irritability', 'anxiety']","Recommended doses of caffeine and sodium benzoate injection vary from 65-325 mg 3 times daily, to 250 mg of anhydrous caffeine in an extended-release formulation once daily. Your doctor will determine the appropriate dose."
145,Caffeine and Sodium Benzoate," Caffeine and Sodium Benzoate Injection (caffeine alkaloid) is used along with supportive measure to treat respiratory depression associated with over dosage with CNS depressant drugs, such as narcotics. However, because of questionable benefit and transient action, most authorities believe caffeine and other analeptics should not be used in these conditions and recommend other supportive therapy. Caffeine and Sodium Benzoate Injection is available in generic form.","['headache', 'excitement', 'agitation', 'restlessness', 'irritability', 'anxiety']","Recommended doses of caffeine and sodium benzoate injection vary from 65-325 mg 3 times daily, to 250 mg of anhydrous caffeine in an extended-release formulation once daily. Your doctor will determine the appropriate dose."
